{'epoch': 1539264585396, 'value': {x : 0.277, y : -0.441, z : -0.908}}
{'epoch': 1539264585399, 'value': {x : 0.273, y : -0.439, z : -0.882}}
{'epoch': 1539264585400, 'value': {x : 0.271, y : -0.433, z : -0.832}}
{'epoch': 1539264585403, 'value': {x : 0.269, y : -0.423, z : -0.823}}
{'epoch': 1539264585406, 'value': {x : 0.257, y : -0.430, z : -0.850}}
{'epoch': 1539264585408, 'value': {x : 0.257, y : -0.444, z : -0.876}}
{'epoch': 1539264585411, 'value': {x : 0.258, y : -0.438, z : -0.873}}
{'epoch': 1539264585414, 'value': {x : 0.255, y : -0.440, z : -0.853}}
{'epoch': 1539264585415, 'value': {x : 0.247, y : -0.442, z : -0.854}}
{'epoch': 1539264585418, 'value': {x : 0.234, y : -0.441, z : -0.870}}
{'epoch': 1539264585421, 'value': {x : 0.227, y : -0.443, z : -0.868}}
{'epoch': 1539264585422, 'value': {x : 0.225, y : -0.446, z : -0.840}}
{'epoch': 1539264585425, 'value': {x : 0.210, y : -0.454, z : -0.838}}
{'epoch': 1539264585428, 'value': {x : 0.212, y : -0.461, z : -0.838}}
{'epoch': 1539264585430, 'value': {x : 0.200, y : -0.473, z : -0.843}}
{'epoch': 1539264585433, 'value': {x : 0.198, y : -0.471, z : -0.861}}
{'epoch': 1539264585436, 'value': {x : 0.185, y : -0.487, z : -0.858}}
{'epoch': 1539264585437, 'value': {x : 0.169, y : -0.500, z : -0.867}}
{'epoch': 1539264585440, 'value': {x : 0.145, y : -0.525, z : -0.886}}
{'epoch': 1539264585443, 'value': {x : 0.129, y : -0.544, z : -0.897}}
{'epoch': 1539264585444, 'value': {x : 0.114, y : -0.569, z : -0.889}}
{'epoch': 1539264585447, 'value': {x : 0.118, y : -0.574, z : -0.883}}
{'epoch': 1539264585450, 'value': {x : 0.124, y : -0.584, z : -0.885}}
{'epoch': 1539264585452, 'value': {x : 0.150, y : -0.558, z : -0.873}}
{'epoch': 1539264585455, 'value': {x : 0.106, y : -0.589, z : -0.909}}
{'epoch': 1539264585458, 'value': {x : 0.149, y : -0.590, z : -0.870}}
{'epoch': 1539264585461, 'value': {x : 0.162, y : -0.575, z : -0.868}}
{'epoch': 1539264585462, 'value': {x : 0.184, y : -0.562, z : -0.908}}
{'epoch': 1539264585465, 'value': {x : 0.202, y : -0.563, z : -0.905}}
{'epoch': 1539264585468, 'value': {x : 0.198, y : -0.550, z : -0.889}}
{'epoch': 1539264585469, 'value': {x : 0.199, y : -0.547, z : -0.891}}
{'epoch': 1539264585472, 'value': {x : 0.216, y : -0.553, z : -0.892}}
{'epoch': 1539264585475, 'value': {x : 0.231, y : -0.543, z : -0.888}}
{'epoch': 1539264585477, 'value': {x : 0.225, y : -0.551, z : -0.899}}
{'epoch': 1539264585480, 'value': {x : 0.208, y : -0.549, z : -0.911}}
{'epoch': 1539264585482, 'value': {x : 0.212, y : -0.548, z : -0.911}}
